All Other Miscellaneous Crop Farming (pt),db:ds:1,11AUG15:19:23:00,1,10001,1,11AUG15:19:35:28,Platinum,10001,1,NULL,8,1,0,9,,961,2,0,0,,8,,1,10001,10001
Cattle Feedlots,pc:2,11AUG15:19:23:07,1,10020,2,29OCT15:01:00:04,Platinum,10001,2,NULL,8,1,0,8,,934,2,0,0,,4,,2,10001,10001
Apiculture,pc:ds2,11AUG15:19:23:08,1,10001,3,26AUG15:01:02:16,Iron,10001,3,NULL,8,1,0,3,,961,2,0,0,,2,,3,10001,10001
All Other Animal Production (pt),sd:4,11AUG15:19:23:08,1,10001,4,12AUG15:01:18:16,Copper,10001,4,NULL,8,1,0,3,,1230,2,0,0,,2,,4,10001,10001
Tortilla Manufacturing,pc:404,25AUG15:20:48:12,1,10001,819,25AUG15:20:48:12,Platinum,10001,404,NULL,8,1,0,3,,934,0,0,0,,3,,113,10001,10001
Roasted Nuts and Peanut Butter Manufacturing,pc:405,25AUG15:20:48:23,1,10001,824,25AUG15:20:48:23,Platinum,10001,405,NULL,8,1,0,3,,961,0,0,0,,3,,114,10001,10001
Other Snack Food Manufacturing,pc:406,25AUG15:20:48:39,1,10001,829,27AUG15:01:02:42,Platinum,10001,406,NULL,8,1,0,3,,934,1,0,0,,4,,115,10001,10001
Coffee and Tea Manufacturing,db:ds:1,25AUG15:20:48:53,1,10001,833,27AUG15:01:01:13,Iron,10001,407,NULL,8,1,0,3,,961,1,0,0,,4,,116,10001,10001
Flavoring Syrup and Concentrate Manufacturing,pc:408,25AUG15:20:49:13,1,10001,837,26AUG15:01:03:27,Gold,10001,408,NULL,8,1,0,3,,934,1,0,0,,4,,117,10001,10001
"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",pc:409,25AUG15:20:49:32,1,10001,841,26AUG15:01:04:56,Silver,10001,409,NULL,8,1,0,3,,961,1,0,0,,4,,118,10001,10001
Spice and Extract Manufacturing,sd:4,25AUG15:20:49:57,1,10001,845,25AUG15:20:49:57,Gold,10001,410,NULL,8,1,0,3,,934,0,0,0,,3,,119,10001,10001
Perishable Prepared Food Manufacturing,pc:411,25AUG15:20:50:13,1,10001,848,25AUG15:20:50:13,Gold,10001,411,NULL,8,1,0,3,,961,0,0,0,,3,,120,10001,10001
All Other Miscellaneous Food Manufacturing (pt),pc:412,25AUG15:20:50:35,1,10001,851,25AUG15:20:50:35,Silver,10001,412,NULL,8,1,0,3,,934,0,0,0,,3,,121,10001,10001
Soft Drink Manufacturing,db:ds:1,25AUG15:20:50:57,1,10001,854,25AUG15:20:50:57,Silver,10001,413,NULL,8,1,0,3,,961,0,0,0,,3,,122,10001,10001
Bottled Water Manufacturing,pc:414,25AUG15:20:51:28,1,10001,857,25AUG15:20:51:28,Copper,10001,414,NULL,8,1,0,3,,934,0,0,0,,3,,123,10001,10001
